Packet Loss,Probability,Packet Loss,Probability
0%,0.575682382,0%,0.575682382
0%,0.578163772,0%,0.578163772
0%,0.580645161,0%,0.580645161
0%,0.583126551,0%,0.583126551
0%,0.58560794,0%,0.58560794
0%,0.58808933,0%,0.58808933
0%,0.59057072,0%,0.59057072
0%,0.593052109,0%,0.593052109
0%,0.595533499,0%,0.595533499
0%,0.598014888,0%,0.598014888
0%,0.600496278,0%,0.600496278
0%,0.602977667,0%,0.602977667
0%,0.605459057,0%,0.605459057
0%,0.607940447,0%,0.607940447
0%,0.610421836,0%,0.610421836
0%,0.612903226,0%,0.612903226
0%,0.615384615,0%,0.615384615
0%,0.617866005,0%,0.617866005
0%,0.620347395,0%,0.620347395
0%,0.622828784,0%,0.622828784
0%,0.625310174,0%,0.625310174
0%,0.627791563,0%,0.627791563
0%,0.630272953,0%,0.630272953
0%,0.632754342,0%,0.632754342
0%,0.635235732,0%,0.635235732
0%,0.637717122,0%,0.637717122
0%,0.640198511,0%,0.640198511
0%,0.642679901,0%,0.642679901
0%,0.64516129,0%,0.64516129
0%,0.64764268,0%,0.64764268
0%,0.650124069,0%,0.650124069
0%,0.652605459,0%,0.652605459
0%,0.655086849,0%,0.655086849
0%,0.657568238,0%,0.657568238
0%,0.660049628,0%,0.660049628
0%,0.662531017,0%,0.662531017
0%,0.665012407,0%,0.665012407
0%,0.667493797,0%,0.667493797
0%,0.669975186,0%,0.669975186
0%,0.672456576,0%,0.672456576
0%,0.674937965,0%,0.674937965
0%,0.677419355,0%,0.677419355
0%,0.679900744,0%,0.679900744
0%,0.682382134,0%,0.682382134
0%,0.684863524,0%,0.684863524
0%,0.687344913,0%,0.687344913
0%,0.689826303,0%,0.689826303
0%,0.692307692,0%,0.692307692
0%,0.694789082,0%,0.694789082
0%,0.697270471,0%,0.697270471
0%,0.699751861,0%,0.699751861
0%,0.702233251,0%,0.702233251
0%,0.70471464,0%,0.70471464
0%,0.70719603,0%,0.70719603
0%,0.709677419,0%,0.709677419
0%,0.712158809,0%,0.712158809
0%,0.714640199,0%,0.714640199
0%,0.717121588,0%,0.717121588
0%,0.719602978,0%,0.719602978
0%,0.722084367,0%,0.722084367
0%,0.724565757,0%,0.724565757
0%,0.727047146,0%,0.727047146
0%,0.729528536,0%,0.729528536
0%,0.732009926,0%,0.732009926
0%,0.734491315,0%,0.734491315
0%,0.736972705,0%,0.736972705
0%,0.739454094,0%,0.739454094
0%,0.741935484,0%,0.741935484
0%,0.744416873,0%,0.744416873
0%,0.746898263,0%,0.746898263
0%,0.749379653,0%,0.749379653
0%,0.751861042,0%,0.751861042
0%,0.754342432,0%,0.754342432
0%,0.756823821,0%,0.756823821
0%,0.759305211,0%,0.759305211
0%,0.7617866,0%,0.7617866
0%,0.76426799,0%,0.76426799
0%,0.76674938,0%,0.76674938
0%,0.769230769,0%,0.769230769
0%,0.771712159,0%,0.771712159
0%,0.774193548,0%,0.774193548
0%,0.776674938,0%,0.776674938
0%,0.779156328,0%,0.779156328
0%,0.781637717,0%,0.781637717
0%,0.784119107,0%,0.784119107
0%,0.786600496,0%,0.786600496
0%,0.789081886,0%,0.789081886
0%,0.791563275,0%,0.791563275
0%,0.794044665,0%,0.794044665
0%,0.796526055,0%,0.796526055
0%,0.799007444,0%,0.799007444
0%,0.801488834,0%,0.801488834
0%,0.803970223,0%,0.803970223
0%,0.806451613,0%,0.806451613
0%,0.808933002,0%,0.808933002
0%,0.811414392,0%,0.811414392
0%,0.813895782,0%,0.813895782
0%,0.816377171,0%,0.816377171
0%,0.818858561,0%,0.818858561
0%,0.82133995,0%,0.82133995
0%,0.82382134,0%,0.82382134
0%,0.82630273,0%,0.82630273
0%,0.828784119,0%,0.828784119
0%,0.831265509,0%,0.831265509
0%,0.833746898,0%,0.833746898
0%,0.836228288,0%,0.836228288
0%,0.838709677,0%,0.838709677
0%,0.841191067,0%,0.841191067
0%,0.843672457,0%,0.843672457
0%,0.846153846,0%,0.846153846
0%,0.848635236,0%,0.848635236
0%,0.851116625,0%,0.851116625
0%,0.853598015,0%,0.853598015
0%,0.856079404,0%,0.856079404
0%,0.858560794,0%,0.858560794
0%,0.861042184,0%,0.861042184
0%,0.863523573,0%,0.863523573
0%,0.866004963,0%,0.866004963
0%,0.868486352,0%,0.868486352
0%,0.870967742,0%,0.870967742
0%,0.873449132,0%,0.873449132
0%,0.875930521,0%,0.875930521
0%,0.878411911,0%,0.878411911
0%,0.8808933,0%,0.8808933
0%,0.88337469,0%,0.88337469
0%,0.885856079,0%,0.885856079
0%,0.888337469,0%,0.888337469
0%,0.890818859,0%,0.890818859
0%,0.893300248,0%,0.893300248
0%,0.895781638,0%,0.895781638
0%,0.898263027,0%,0.898263027
0%,0.900744417,0%,0.900744417
0%,0.903225806,0%,0.903225806
0%,0.905707196,0%,0.905707196
0%,0.908188586,0%,0.908188586
0%,0.910669975,0%,0.910669975
0%,0.913151365,0%,0.913151365
0%,0.915632754,0%,0.915632754
0%,0.918114144,0%,0.918114144
0%,0.920595533,0%,0.920595533
0%,0.923076923,0%,0.923076923
0%,0.925558313,0%,0.925558313
0%,0.928039702,0%,0.928039702
0%,0.930521092,0%,0.930521092
0%,0.933002481,0%,0.933002481
0%,0.935483871,0%,0.935483871
0%,0.937965261,0%,0.937965261
0%,0.94044665,0%,0.94044665
0%,0.94292804,0%,0.94292804
0%,0.945409429,0%,0.945409429
0%,0.947890819,0%,0.947890819
0%,0.950372208,0%,0.950372208
0%,0.952853598,0%,0.952853598
0%,0.955334988,0%,0.955334988
0%,0.957816377,0%,0.957816377
0%,0.960297767,0%,0.960297767
0%,0.962779156,0%,0.962779156
0%,0.965260546,0%,0.965260546
0%,0.967741935,0%,0.967741935
0%,0.970223325,0%,0.970223325
0%,0.972704715,0%,0.972704715
0%,0.975186104,0%,0.975186104
0%,0.977667494,0%,0.977667494
0%,0.980148883,0%,0.980148883
0%,0.982630273,0%,0.982630273
0%,0.985111663,0%,0.985111663
0%,0.987593052,0%,0.987593052
0%,0.990074442,0%,0.990074442
0%,0.992555831,0%,0.992555831
0%,0.995037221,0%,0.995037221
0,0.99751861,0,0.99751861
