Avg_A,Probability_1,Avg_B,Probability_2
123.613,0.863523573,123.679,0.863523573
123.614,0.866004963,123.68,0.866004963
123.614,0.868486352,123.681,0.868486352
123.615,0.870967742,123.681,0.870967742
123.617,0.873449132,123.681,0.873449132
123.617,0.875930521,123.681,0.875930521
123.618,0.878411911,123.682,0.878411911
123.618,0.8808933,123.684,0.8808933
123.621,0.88337469,123.684,0.88337469
123.623,0.885856079,123.685,0.885856079
123.624,0.888337469,123.686,0.888337469
123.624,0.890818859,123.687,0.890818859
123.624,0.893300248,123.688,0.893300248
123.625,0.895781638,123.688,0.895781638
123.626,0.898263027,123.689,0.898263027
123.627,0.900744417,123.689,0.900744417
123.627,0.903225806,123.689,0.903225806
123.628,0.905707196,123.696,0.905707196
123.629,0.908188586,123.697,0.908188586
123.63,0.910669975,123.7,0.910669975
123.631,0.913151365,123.701,0.913151365
123.631,0.915632754,123.706,0.915632754
123.632,0.918114144,123.707,0.918114144
123.633,0.920595533,123.707,0.920595533
123.633,0.923076923,123.708,0.923076923
123.633,0.925558313,123.715,0.925558313
123.634,0.928039702,123.716,0.928039702
123.634,0.930521092,123.718,0.930521092
123.635,0.933002481,123.73,0.933002481
123.637,0.935483871,123.732,0.935483871
123.638,0.937965261,123.747,0.937965261
123.64,0.94044665,123.764,0.94044665
123.64,0.94292804,123.766,0.94292804
123.651,0.945409429,123.768,0.945409429
123.656,0.947890819,123.775,0.947890819
123.668,0.950372208,123.786,0.950372208
123.677,0.952853598,123.8,0.952853598
123.749,0.955334988,123.803,0.955334988
123.752,0.957816377,123.855,0.957816377
123.79,0.960297767,123.863,0.960297767
123.802,0.962779156,123.919,0.962779156
123.818,0.965260546,123.972,0.965260546
124.0779377,0.967741935,124.001,0.967741935
125.777,0.970223325,124.1335124,0.970223325
125.859,0.972704715,126.056,0.972704715
143.31,0.975186104,126.29,0.975186104
143.315,0.977667494,143.359,0.977667494
143.326,0.980148883,143.363,0.980148883
143.327,0.982630273,143.365,0.982630273
143.328,0.985111663,143.371,0.985111663
143.336,0.987593052,143.372,0.987593052
143.336,0.990074442,143.38,0.990074442
143.342,0.992555831,143.382,0.992555831
143.343,0.995037221,143.387,0.995037221
143.366,0.99751861,143.389,0.99751861
