Avg_a,Probability1,Avg_b,Probability2
222.185,0.598014888,221.115,0.598014888
222.197,0.600496278,221.115,0.600496278
222.299,0.602977667,221.19,0.602977667
222.381,0.605459057,221.27,0.605459057
222.385,0.607940447,221.273,0.607940447
222.439,0.610421836,221.3135896,0.610421836
222.6071368,0.612903226,221.338,0.612903226
222.642,0.615384615,221.34,0.615384615
222.65,0.617866005,221.401,0.617866005
222.689,0.620347395,221.414,0.620347395
222.826,0.622828784,221.416,0.622828784
222.976,0.625310174,221.51,0.625310174
223.137,0.627791563,221.58,0.627791563
223.195,0.630272953,221.645,0.630272953
223.257,0.632754342,221.661,0.632754342
223.266,0.635235732,221.737,0.635235732
223.327,0.637717122,221.776,0.637717122
223.351,0.640198511,221.792,0.640198511
223.554,0.642679901,221.924,0.642679901
223.579,0.64516129,222.039,0.64516129
223.61,0.64764268,222.046,0.64764268
223.656,0.650124069,222.061,0.650124069
223.718,0.652605459,222.068,0.652605459
223.815,0.655086849,222.073,0.655086849
223.91,0.657568238,222.127,0.657568238
223.953,0.660049628,222.142,0.660049628
223.958,0.662531017,222.181,0.662531017
223.997,0.665012407,222.184,0.665012407
224.003,0.667493797,222.246,0.667493797
224.027,0.669975186,222.275,0.669975186
224.043,0.672456576,222.289,0.672456576
224.37,0.674937965,222.361,0.674937965
224.462,0.677419355,222.433,0.677419355
224.499,0.679900744,222.438,0.679900744
224.5,0.682382134,222.464,0.682382134
224.602,0.684863524,222.489,0.684863524
224.662,0.687344913,222.509,0.687344913
224.699,0.689826303,222.678,0.689826303
224.706,0.692307692,222.689,0.692307692
224.771,0.694789082,222.704,0.694789082
224.813,0.697270471,222.732,0.697270471
224.85,0.699751861,222.742,0.699751861
224.854,0.702233251,222.77,0.702233251
224.901,0.70471464,222.771,0.70471464
224.925,0.70719603,222.989,0.70719603
224.932,0.709677419,223.051,0.709677419
225.24,0.712158809,223.17,0.712158809
225.33,0.714640199,223.2,0.714640199
225.438,0.717121588,223.441,0.717121588
225.539,0.719602978,223.6,0.719602978
225.574,0.722084367,223.746,0.722084367
225.597,0.724565757,223.845,0.724565757
225.842,0.727047146,223.887,0.727047146
225.912,0.729528536,223.891,0.729528536
225.993,0.732009926,223.933,0.732009926
226.026,0.734491315,223.937,0.734491315
226.168,0.736972705,224.007,0.736972705
226.183,0.739454094,224.01,0.739454094
226.215,0.741935484,224.068,0.741935484
226.311,0.744416873,224.099,0.744416873
226.384,0.746898263,224.168,0.746898263
226.393,0.749379653,224.287,0.749379653
226.494,0.751861042,224.306,0.751861042
226.529,0.754342432,224.558,0.754342432
226.54,0.756823821,224.706,0.756823821
226.856,0.759305211,224.771,0.759305211
226.894,0.7617866,224.862,0.7617866
226.923,0.76426799,224.933,0.76426799
226.982,0.76674938,225.009,0.76674938
227.012,0.769230769,225.097,0.769230769
227.138,0.771712159,225.451,0.771712159
227.173,0.774193548,225.492,0.774193548
227.193,0.776674938,225.601,0.776674938
227.529,0.779156328,225.651,0.779156328
227.648,0.781637717,225.723,0.781637717
227.711,0.784119107,226.158,0.784119107
227.857,0.786600496,226.199,0.786600496
227.864,0.789081886,226.377,0.789081886
227.938,0.791563275,226.589,0.791563275
227.962,0.794044665,227.003,0.794044665
228.048,0.796526055,227.108,0.796526055
228.099,0.799007444,227.112,0.799007444
228.182,0.801488834,227.138,0.801488834
228.254,0.803970223,227.262,0.803970223
228.417,0.806451613,227.275,0.806451613
228.648,0.808933002,227.32,0.808933002
228.854,0.811414392,227.395,0.811414392
229.182,0.813895782,227.458,0.813895782
229.314,0.816377171,227.554,0.816377171
229.544,0.818858561,227.671,0.818858561
229.552,0.82133995,227.747,0.82133995
229.563,0.82382134,227.836,0.82382134
229.806,0.82630273,227.842,0.82630273
229.885,0.828784119,228.002,0.828784119
229.94,0.831265509,228.703,0.831265509
229.971,0.833746898,229.083,0.833746898
230.188,0.836228288,229.263,0.836228288
230.219,0.838709677,229.272,0.838709677
230.372,0.841191067,229.278,0.841191067
230.428,0.843672457,229.483,0.843672457
230.659,0.846153846,229.51,0.846153846
230.664,0.848635236,229.544,0.848635236
230.715,0.851116625,229.657,0.851116625
230.741,0.853598015,229.801,0.853598015
230.963,0.856079404,229.803,0.856079404
231.034,0.858560794,230.105,0.858560794
231.226,0.861042184,230.157,0.861042184
231.417,0.863523573,230.215,0.863523573
231.51,0.866004963,230.909,0.866004963
231.78,0.868486352,230.955,0.868486352
231.909,0.870967742,230.997,0.870967742
232.176,0.873449132,231.027,0.873449132
232.285,0.875930521,231.62,0.875930521
232.343,0.878411911,231.625,0.878411911
232.41,0.8808933,231.64,0.8808933
232.417,0.88337469,231.726,0.88337469
232.559,0.885856079,232.152,0.885856079
232.905,0.888337469,233.124,0.888337469
233.113,0.890818859,233.172,0.890818859
233.371,0.893300248,233.176,0.893300248
233.598,0.895781638,233.294,0.895781638
233.889,0.898263027,233.402,0.898263027
234.059,0.900744417,233.425,0.900744417
234.189,0.903225806,233.514,0.903225806
234.704,0.905707196,234.086,0.905707196
234.819,0.908188586,234.591,0.908188586
234.861,0.910669975,235.025,0.910669975
234.88,0.913151365,235.285,0.913151365
235.271,0.915632754,235.601,0.915632754
235.632,0.918114144,235.602,0.918114144
236.066,0.920595533,236.143,0.920595533
236.726,0.923076923,236.149,0.923076923
238.423,0.925558313,236.62,0.925558313
